mode,run_id,elapsed,ops_per_s,micros_per_op,found,total_ops,get_p50,get_p95,get_p99,get_p100,sst_p50,sst_p95,sst_p99,get_count,get_sum,sst_count,sst_sum,filter_per_get,index_per_get,data_per_get,sst_per_get,bytes_per_sst_read,bloom_fpr,bloom_useful,bloom_pos,bloom_tp,filter_miss,filter_hit,index_miss,index_hit,data_miss,data_hit,l0_hit,l1_hit,l2_hit,l3_hit,l4_hit,l5_hit,l6_hit,non_last_read_bytes,non_last_read_count,compact_read,compact_write
vcomp,vcomp_run7,448.666,2228,448.666,633241,1000000,446.356585,750.7095,849.464001,1521.0,93.726852,150.385942,166.76377,1000000,448248324,4230775,402561956,2.915213,0.654525,0.655262,4.230775,105387.51988843651,3.251823841717272,2260688,654525,633241,2914840,373,654525,0,655262,0,0,902,9956,98459,523924,0,0,445870884456,4230775,0,0
vcomp,vcomp_run8,466.201,2144,466.201,633595,1000000,466.206549,794.404761,858.596362,1971.0,93.714559,149.870667,166.736562,1000000,465777410,4384437,419261511,3.066138,0.655908,0.656622,4.384437,104845.89097209061,3.401849039804361,2410230,655908,633595,3065755,383,655908,0,656622,0,0,982,9755,98623,524235,0,0,459690203676,4384437,0,0
vcomp,vcomp_run9,467.826,2137,467.826,633246,1000000,466.845796,796.325069,858.967162,1672.0,93.614889,149.478351,166.470472,1000000,467428096,4418886,421146914,3.100392,0.656218,0.656921,4.418886,103633.00971692866,3.5006659372342708,2444174,656218,633246,3099577,815,656218,0,656921,0,0,949,10098,98964,523235,0,0,457942455776,4418886,0,0
vcomp,vcomp_run10,449.102,2226,449.102,633312,1000000,444.778615,752.949825,852.681581,1478.0,93.735891,150.791076,167.111676,1000000,448699561,4189267,403267326,2.873393,0.654802,0.655552,4.189267,106497.89961012272,3.281908118790111,2218591,654802,633312,2872725,668,654800,2,655552,0,0,940,10040,98606,523726,0,0,446148136406,4189267,0,0
vcomp,vcomp_run11,504.634,1981,504.634,632854,1000000,516.711169,831.149908,866.255149,2416.0,93.544519,148.073143,166.433535,1000000,504251995,4773350,454300654,3.446607,0.660734,0.661609,4.77335,101325.4228116522,4.2195497734337835,2785873,660734,632854,3444829,1778,660734,0,661609,0,0,999,9873,98787,523195,0,0,483661706978,4773350,0,0
vcomp,vcomp_run12,489.147,2044,489.147,633135,1000000,490.394683,817.750549,863.475106,1595.0,93.62962,148.529595,166.337633,1000000,488753269,4615836,440246165,3.296568,0.656569,0.657287,4.615836,102126.24811540099,3.569160286276085,2639999,656569,633135,3295800,768,656569,0,657287,0,0,771,9727,98387,524250,0,0,471398012596,4615836,0,0
vcomp,vcomp_run13,481.399,2077,481.399,632938,1000000,485.519551,814.801617,862.799167,1543.0,93.635743,149.089841,166.696651,1000000,481016306,4567001,433273247,3.240491,0.660291,0.66116,4.567001,101552.97007270198,4.142567443748291,2580200,660291,632938,3239383,1108,660290,1,661160,0,0,898,9716,98634,523690,0,0,463792515875,4567001,0,0
vcomp,vcomp_run14,449.319,2225,449.319,631960,1000000,444.991471,749.82629,849.580345,1553.0,93.730436,150.425859,166.827309,1000000,448900295,4218945,403776430,2.905127,0.653735,0.654435,4.218945,104504.68404257462,3.3308603639089274,2251392,653735,631960,2904601,526,653735,0,654435,0,0,776,9852,98137,523195,0,0,440899514218,4218945,0,0
vcomp,vcomp_run15,468.275,2135,468.275,633240,1000000,466.83832,796.115449,859.626979,3225.0,93.684255,149.764401,166.789796,1000000,467880185,4414841,420726920,3.091674,0.65855,0.659456,4.414841,103893.11831026305,3.843292081087235,2433124,658550,633240,3090649,1025,658550,0,659456,0,0,1051,9693,99277,523219,0,0,458671598334,4414841,0,0
vcomp,vcomp_run16,489.643,2042,489.643,633226,1000000,487.298012,816.8511,864.176598,1611.0,93.677099,149.018087,166.602169,1000000,489247052,4575312,439431758,3.255452,0.656933,0.657595,4.575312,105302.42237316274,3.608739399603922,2598519,656933,633226,3254594,858,656933,0,657595,0,0,885,10048,98843,523450,0,0,481791436713,4575312,0,0
vcomp,vcomp_run17,487.313,2052,487.313,632452,1000000,491.003589,818.018193,863.441946,1729.0,93.667227,148.965643,166.686403,1000000,486873787,4614316,438098061,3.291611,0.658412,0.659171,4.614316,102784.48792627119,3.9428199972053934,2633199,658412,632452,3290569,1042,658412,0,659171,0,0,981,9784,98871,522816,0,0,474280107190,4614316,0,0
vcomp,vcomp_run18,476.738,2097,476.738,633043,1000000,479.273401,809.59871,861.574693,1572.0,93.675651,149.11367,166.505285,1000000,476358860,4514095,428604573,3.194114,0.656876,0.657584,4.514095,103469.24257774814,3.6282342481686047,2537238,656876,633043,3193462,652,656875,1,657584,0,0,823,10067,99238,522915,0,0,467069990574,4514095,0,0
vcomp,vcomp_run19,446.647,2238,446.647,633339,1000000,443.097673,740.197018,847.948632,1461.0,93.6665,150.558626,166.819299,1000000,446269696,4210559,400235821,2.89422,0.655079,0.65583,4.210559,104438.55732979873,3.318683700744496,2239141,655079,633339,2893485,735,655078,1,655830,0,0,882,9809,99185,523463,0,0,439744707512,4210559,0,0
vcomp,vcomp_run20,469.498,2129,469.498,633499,1000000,469.844981,798.792164,859.815247,1802.0,93.675861,149.72394,166.789194,1000000,469105552,4422304,422123355,3.10319,0.65633,0.657044,4.422304,104269.51471631078,3.4785854676763206,2446860,656330,633499,3102734,456,656330,0,657044,0,0,902,9910,98350,524337,0,0,461111492008,4422304,0,0
vcomp,vcomp_run21,468.099,2136,468.099,633298,1000000,464.408011,793.070473,858.747827,1830.0,93.623135,149.988499,166.979426,1000000,467702532,4380799,420866224,3.061179,0.656638,0.657439,4.380799,103712.77186969774,3.5544698905637495,2404541,656638,633298,3060554,625,656638,0,657439,0,0,939,9913,98506,523940,0,0,454344807294,4380799,0,0
vcomp,vcomp_run22,469.318,2130,469.318,633011,1000000,464.476689,791.374078,858.49827,1563.0,93.70342,149.733986,166.720501,1000000,468935644,4399741,422001463,3.082508,0.655507,0.656213,4.399741,104359.43824397845,3.4318474097149276,2427001,655507,633011,3081822,686,655506,1,656213,0,0,969,9793,98554,523695,0,0,459154499179,4399741,0,0
vcomp,vcomp_run23,463.3,2158,463.3,633042,1000000,457.264803,780.36981,856.673552,1787.0,93.606703,149.985024,166.68279,1000000,462902612,4325737,416741879,3.00807,0.655658,0.656433,4.325737,104737.44734249909,3.4493592696192232,2352412,655658,633042,3007487,583,655657,1,656433,0,0,781,9813,98552,523896,0,0,453066651255,4325737,0,0
vcomp,vcomp_run24,482.365,2073,482.365,633300,1000000,483.982837,813.466362,862.053563,1584.0,93.636859,148.963268,166.572567,1000000,481992355,4578924,433656063,3.25355,0.659977,0.66078,4.578924,101264.10517885862,4.042110558398249,2593573,659977,633300,3251991,1559,659977,0,660780,0,0,854,9809,99019,523618,0,0,463680641542,4578924,0,0
vcomp,vcomp_run25,471.198,2122,471.198,633134,1000000,472.432218,800.367588,859.084522,1587.0,93.516344,149.051167,166.426112,1000000,470788425,4492987,423976308,3.172366,0.657209,0.657965,4.492987,100484.15135521202,3.663218245641797,2515157,657209,633134,3171567,799,657209,0,657965,0,0,810,9551,97221,525552,0,0,451473985745,4492987,0,0
vcomp,vcomp_run26,453.212,2206,453.212,633375,1000000,450.739552,767.328747,854.362254,1562.0,93.719996,150.381143,166.827411,1000000,452820111,4243466,407304731,2.926833,0.655252,0.65595,4.243466,104886.33768716422,3.338715486560895,2271581,655252,633375,2926086,747,655252,0,655950,0,0,623,9871,98275,524606,0,0,445081607840,4243466,0,0
vcomp,vcomp_run27,486.395,2055,486.395,633770,1000000,490.632758,818.436727,864.436346,1583.0,93.638133,149.005383,166.787224,1000000,486021622,4587248,437062772,3.265104,0.657875,0.658594,4.587248,104306.12625674478,3.664069922097668,2607229,657875,633770,3264595,509,657875,0,658594,0,0,801,9903,98708,524358,0,0,478478069059,4587248,0,0
vcomp,vcomp_run28,449.896,2222,449.896,633434,1000000,445.548433,746.823044,849.792286,1895.0,93.712426,150.631761,166.982218,1000000,449471079,4225803,404179674,2.908948,0.655238,0.656012,4.225803,104801.99148990144,3.327645832506665,2253710,655238,633434,2908387,561,655238,0,656012,0,0,865,9907,99196,523466,0,0,442872570044,4225803,0,0
vcomp,vcomp_run29,450.999,2217,450.999,633790,1000000,446.945723,753.567445,851.430488,2857.0,93.683195,150.746003,167.076978,1000000,450624151,4219611,405120311,2.902717,0.655235,0.655929,4.219611,105040.10791184306,3.2728715651636486,2247482,655235,633790,2902257,460,655235,0,655929,0,0,972,9940,99026,523852,0,0,443228394786,4219611,0,0
vcomp,vcomp_run30,455.186,2196,455.186,633056,1000000,454.056666,771.244148,853.902321,1647.0,93.564603,149.89635,166.461693,1000000,454793977,4303897,409778845,2.986181,0.655812,0.656527,4.303897,102029.37226889956,3.469896860685684,2330369,655812,633056,2985328,853,655812,0,656527,0,0,877,9721,96831,525627,0,0,439123909220,4303897,0,0
